,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,label_enc
320,8,4,9,320,150,23.78,1000.62,43.35,26947,cinnamon,2
321,1,5,1,100,150,24.46,1019.45,45.79,1371735,cinnamon,2
322,5,4,9,320,150,22.96,1101.4,54.7,31880,cinnamon,2
323,3,5,2,100,150,23.29,1023.73,57.84,682439,cinnamon,2
324,7,5,4,200,150,24.2,1053.66,50.7,120160,cinnamon,2
325,2,5,3,100,150,23.73,1096.26,56.38,193683,cinnamon,2
326,4,5,3,100,150,22.58,1093.24,55.02,155246,cinnamon,2
327,6,5,4,200,150,23.35,1098.84,55.81,96841,cinnamon,2
328,8,5,0,320,150,23.82,1000.62,43.31,28783,cinnamon,2
329,1,5,2,100,150,24.44,1019.45,45.66,1211118,cinnamon,2
330,5,5,0,320,150,23.0,1101.41,54.54,34179,cinnamon,2
331,3,5,3,100,150,23.27,1023.74,57.81,633663,cinnamon,2
332,7,5,5,200,150,24.21,1053.66,50.72,115602,cinnamon,2
333,2,5,4,200,150,23.71,1096.26,56.33,39531,cinnamon,2
334,4,5,4,200,150,22.56,1093.23,55.27,35665,cinnamon,2
335,6,5,5,200,150,23.37,1098.85,55.87,89793,cinnamon,2
336,8,5,1,100,150,23.85,1000.63,43.23,1148948,cinnamon,2
337,1,5,3,100,150,24.43,1019.44,45.7,1128997,cinnamon,2
338,5,5,1,100,150,23.04,1101.42,54.5,1418774,cinnamon,2
339,7,5,6,200,150,24.23,1053.65,50.63,112109,cinnamon,2
340,3,5,4,200,150,23.25,1023.75,57.76,87671,cinnamon,2
341,2,5,5,200,150,23.72,1096.27,56.36,36708,cinnamon,2
342,4,5,5,200,150,22.57,1093.22,55.02,32812,cinnamon,2
343,6,5,6,200,150,23.39,1098.84,55.76,85390,cinnamon,2
344,1,5,4,200,150,24.41,1019.45,45.61,143137,cinnamon,2
345,8,5,2,100,150,23.85,1000.63,43.15,1019413,cinnamon,2
346,5,5,2,100,150,23.03,1101.42,54.41,1275615,cinnamon,2
347,7,5,7,320,150,24.25,1053.66,50.59,27754,cinnamon,2
348,3,5,5,200,150,23.26,1023.74,57.79,81090,cinnamon,2
349,2,5,6,200,150,23.73,1096.27,56.4,34820,cinnamon,2
350,4,5,6,200,150,22.59,1093.22,54.97,31204,cinnamon,2
351,6,5,7,320,150,23.41,1098.84,55.72,24142,cinnamon,2
352,1,5,5,200,150,24.42,1019.45,45.62,141008,cinnamon,2
353,8,5,3,100,150,23.83,1000.63,43.13,988417,cinnamon,2
354,7,5,8,320,150,24.29,1053.66,50.6,31434,cinnamon,2
355,5,5,3,100,150,23.02,1101.41,54.33,1203644,cinnamon,2
356,3,5,6,200,150,23.28,1023.74,57.72,77271,cinnamon,2
357,2,5,7,320,150,23.74,1096.28,56.37,13603,cinnamon,2
358,4,5,7,320,150,22.6,1093.22,54.94,12888,cinnamon,2
359,6,5,8,320,150,23.44,1098.85,55.7,28082,cinnamon,2
360,1,5,6,200,150,24.44,1019.45,45.77,138266,cinnamon,2
361,8,5,4,200,150,23.82,1000.62,43.1,112925,cinnamon,2
362,7,5,9,320,150,24.33,1053.66,50.52,33508,cinnamon,2
363,3,5,7,320,150,23.29,1023.73,57.66,25108,cinnamon,2
364,5,5,4,200,150,23.0,1101.41,54.43,139853,cinnamon,2
