id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,16007,6,1724206621,6447690,1771458035,36.606098,993.326172,19.030891,81399.046875,7,1,1,0,0
2026_02_18_21_53,16008,3,1724221471,6448228,1771458035,34.979668,992.920593,19.977737,146578.875,4,1,1,0,0
2026_02_18_21_53,16009,6,1724206621,6448390,1771458035,36.849056,993.369141,18.852432,112035.007812,8,1,1,0,0
2026_02_18_21_53,16010,3,1724221471,6448928,1771458036,35.244286,992.916382,19.786192,138154.34375,5,1,1,0,0
2026_02_18_21_53,16011,6,1724206621,6449090,1771458036,36.980659,993.364807,18.646364,130645.570312,9,1,1,0,0
2026_02_18_21_53,16012,3,1724221471,6449628,1771458037,35.374096,992.930969,19.523815,133821.21875,6,1,1,0,0
2026_02_18_21_53,16013,6,1724206621,6449790,1771458037,37.064178,993.347473,18.458454,144347.328125,0,1,2,0,0
2026_02_18_21_53,16014,6,1724206621,6450070,1771458037,36.606098,993.395752,18.332005,14737126.0,1,1,2,0,0
2026_02_18_21_53,16015,3,1724221471,6450188,1771458037,35.855896,992.90741,19.398054,81321.476562,7,1,1,0,0
2026_02_18_21_53,16016,3,1724221471,6450888,1771458038,36.090557,992.928711,19.215199,113752.5,8,1,1,0,0
2026_02_18_21_53,16017,6,1724206621,6451470,1771458038,35.560875,993.324585,18.078058,11051602.0,2,1,2,0,0
2026_02_18_21_53,16018,3,1724221471,6451588,1771458039,36.220371,992.928406,18.989622,133507.171875,9,1,1,0,0
2026_02_18_21_53,16019,3,1724221471,6452288,1771458039,36.300255,992.917786,18.781984,148105.296875,0,1,2,0,0
2026_02_18_21_53,16020,3,1724221471,6452568,1771458040,35.845909,992.94574,18.645729,14817092.0,1,1,2,0,0
2026_02_18_21_53,16021,3,1724221471,6453968,1771458041,34.829887,992.937195,18.358019,11085250.0,2,1,2,0,0
2026_02_18_21_53,16022,6,1724206621,6455530,1771458043,35.328041,993.323181,18.095448,7717381.0,3,1,2,0,0
2026_02_18_21_53,16023,6,1724206621,6456230,1771458043,36.011356,993.297852,18.151226,449912.125,4,1,2,0,0
2026_02_18_21_53,16024,6,1724206621,6456930,1771458044,36.264439,993.324219,18.135059,396131.53125,5,1,2,0,0
2026_02_18_21_53,16025,1,1724192798,6457147,1771458044,33.392551,992.910889,23.141649,51302.605469,0,1,1,0,0
2026_02_18_21_53,16026,1,1724192798,6457427,1771458044,33.417389,992.97406,23.037163,2791141.5,1,1,1,0,0
2026_02_18_21_53,16027,6,1724206621,6457640,1771458045,36.375793,993.314819,18.079374,357292.40625,6,1,2,0,0
2026_02_18_21_53,16028,2,1724204062,6457784,1771458045,33.931789,992.925842,22.395693,51958.59375,0,1,1,0,0
2026_02_18_21_53,16029,4,1724209694,6457936,1771458045,35.064362,992.878967,20.905647,75427.226562,0,1,1,0,0
2026_02_18_21_53,16030,3,1724221471,6458059,1771458045,34.517845,992.883545,18.375534,7536338.5,3,1,2,0,0
2026_02_18_21_53,16031,2,1724204062,6458064,1771458045,33.994106,993.028564,22.299841,2673629.25,1,1,1,0,0
