,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,pca_0,pca_1
1507,3,15,6,200,150,29.66,1035.16,-0.009385169025180646,0.10477017622822123,air,0_3_15,-1.0000311120790424,0.1335413187309696,-0.6563803921714997,-0.42728271569976345
1605,3,16,6,200,150,29.71,1035.16,-0.012466397046847993,0.1139499345860979,air,0_3_16,-1.3111519025035647,0.16354163386474208,-0.1190654678521308,-0.07913342138076668
1802,3,18,6,200,150,29.81,1035.16,-0.01554762506851534,0.12127175382723067,air,0_3_18,-1.0000311120790424,0.2633956239423475,0.06450435674112308,-0.094330476761677
237,3,2,6,200,150,28.55,1035.14,0.04101491790066358,-0.37844790624137326,air,0_3_2,1.8000560017423206,-0.9445582412969025,0.14446601141627521,0.21582305427828474
1990,3,20,6,200,150,29.9,1035.16,-0.018848940806016023,0.13005573817207314,air,0_3_20,-1.3111519025035647,0.23060116181082171,-0.07054004538691624,-0.3187544222729678
2091,3,21,6,200,150,29.95,1035.16,-0.020609642532683034,0.13005573817207314,air,0_3_21,-0.6889103216545203,0.35942604444407994,0.171145575822565,1.2409034345093164
2574,3,26,6,200,150,30.13,1035.19,-0.027432361723517894,0.15794681236840025,air,0_3_26,-1.6222726929280868,0.3398670154598067,0.48114579139222,-0.6786319808777442
529,3,5,6,200,150,28.93,1035.12,0.021207023475659323,-0.0723826694949222,air,0_3_5,-1.6222726929280868,-0.20352104541906216,0.783872035344589,0.010634319687545303
15733,3,12,7,320,150,30.05,1034.51,0.009476534082208367,-0.04456502279131185,air,4_3_12,5.286545028504319,-0.058140778525392255,0.8967908648805604,-0.6321964149794133
15832,3,13,7,320,150,30.11,1034.51,0.005189530568828372,-0.04010454203878218,air,4_3_13,0.5715183814607413,-0.030283916280374357,0.9804466683329396,0.07652388480941329
15930,3,14,7,320,150,30.15,1034.5,0.00406137174951794,-0.021791322949150916,air,4_3_14,3.7148694794897934,-0.020883516536381912,1.0391734005849105,0.0729361231946427
16032,3,15,7,320,150,30.21,1034.51,0.00203068587475897,0.000696232844734533,air,4_3_15,-1.0001571675549015,-0.008005313224099222,1.316826874813632,1.238709304853589
16131,3,16,7,320,150,30.25,1034.49,-0.0004512635277241087,0.009129066267441577,air,4_3_16,3.7148694794897934,0.00194602569902831,1.3545308153843503,-1.2219493532414494
16228,3,17,7,320,150,30.3,1034.46,-0.0015794223470345407,0.00983601038671043,air,4_3_17,6.858220577518845,0.018560285319820815,1.5060746027006562,-0.35928650788895145
16422,3,19,7,320,150,30.38,1034.45,-0.0027075811663449727,0.024244204817523263,air,4_3_19,-15.145237108688987,0.03190334356449873,1.7487234866775045,-0.2992767259614846
16618,3,21,7,320,150,30.46,1034.45,-0.007897111735173346,0.04587332846658225,air,4_3_21,2.143193930475267,0.051329688578793255,1.7334659612552121,1.1315502639155741
16815,3,23,7,320,150,30.53,1034.48,-0.011055956429242748,0.057420082414640194,air,4_3_23,-12.001886010658817,0.06170570978583742,0.07455886216369573,-0.9671809889343389
16914,3,24,7,320,150,30.56,1034.49,-0.01376353759558788,0.06842821227182663,air,4_3_24,13.144922773578067,0.07150209706483321,0.801337020467032,1.317363923527518
15438,3,9,7,320,150,29.88,1034.47,0.01669675052579555,-0.10916624969021332,air,4_3_9,-7.286859363614123,-0.11963362544656383,0.2767959646267404,-4.59048487548895
8029,3,10,7,320,150,29.69,1035.12,0.007816800444417122,-0.011938287877332263,air,2_3_10,-12.648398065678116,0.01396719683139593,1.4705196173332362,0.3632457259570444
8128,3,11,7,320,150,29.76,1035.13,-0.0014312451517946182,0.018763899453112347,air,2_3_11,37.12157757880201,0.0218932044766095,1.6478221616822974,2.3348608627380085
8323,3,13,7,320,150,29.87,1035.11,-0.0016514367136091386,0.04552052909258067,air,2_3_13,2.1767010624647734,0.04127467463524422,1.7868676636212166,-0.5618791741861274
8421,3,14,7,320,150,29.92,1035.13,-0.000330287342721859,0.06650253456181217,air,2_3_14,-15.82520502170809,0.05890973632967935,1.9556305414280462,-0.5760250452073722
8620,3,16,7,320,150,30.02,1035.11,-0.009358141377118922,0.08413996132611014,air,2_3_16,-4.176912849595928,0.08515471387908453,2.2741549392639846,-0.059805250768949075
8715,3,17,7,320,150,30.06,1035.09,-0.009137949815304401,0.09587211631450983,air,2_3_17,0.058829758444790436,0.0784621835407532,-2.6963303187605505,0.3125289176931416
8906,3,19,7,320,150,30.14,1035.09,-0.012220631680708314,0.11337889547314632,air,2_3_19,-6.29478415361591,0.08373804687316039,2.26738696186866,-0.23899357540658583
7243,3,2,7,320,150,28.88,1035.1,0.044588791267449246,-0.5450850370606444,air,2_3_2,8.530314974526979,-0.5280544846938254,2.224769425844992,-1.8582332957977765
9002,3,20,7,320,150,30.18,1035.1,-0.01354178105159575,0.11784704358676848,air,2_3_20,-3.1179771975851835,0.1029241146861504,2.294221494609299,-0.41850069852212163
9102,3,21,7,320,150,30.21,1035.1,-0.017505229164257903,0.12916112623705148,air,2_3_21,5.353508018496252,0.10017626920052165,2.705521779876006,0.9898571125259912
9296,3,23,7,320,150,30.28,1035.1,-0.017945612287886943,0.1454136883813379,air,2_3_23,-1.000105893565201,0.10927469091960348,2.4175936910900058,-2.0525376611528996
9394,3,24,7,320,150,30.31,1035.11,-0.017505229164257903,0.1418862030284783,air,2_3_24,-7.353719805625901,0.11221793875087693,2.7574606356406197,-0.2766526532679834
9495,3,25,7,320,150,30.34,1035.12,-0.020587911029661815,0.16090849441278782,air,2_3_25,1.1177654104555341,0.10986089795653763,-1.2907352577703388,0.39237850143919606
9595,3,26,7,320,150,30.37,1035.12,-0.021468677276920055,0.15014313170628296,air,2_3_26,0.058829758445542855,0.12146291222919231,-0.8265733024530963,0.8997758381965827
7439,3,4,7,320,150,29.18,1035.11,0.029175381940429835,-0.2762122646093465,air,2_3_4,0.058829758444790436,-0.22647538948442036,-0.38796703913523073,1.047579429225298
7536,3,5,7,320,150,29.29,1035.14,0.025211933827767683,-0.1981372554660542,air,2_3_5,-6.294784153616662,-0.14025410446869185,-0.1802061116379232,0.31124688598624634
7633,3,6,7,320,150,29.39,1035.13,0.019927336344218095,-0.14065230897500897,air,2_3_6,-1.000105893565201,-0.09186759862842041,-3.339206749349364,0.8613518784640439
7735,3,7,7,320,150,29.47,1035.1,0.015963888231555944,-0.09751246958559276,air,2_3_7,3.235636714475517,-0.052665003033450355,1.034507851115304,-0.48089034607768316
153,3,1,7,320,150,28.32,1035.13,0.05603068673055347,-0.729030740682754,air,0_3_1,36.35029680517685,-0.6387634917860164,1.2237776189473457,0.6101631632443962
1025,3,10,7,320,150,29.37,1035.14,0.002106653204796523,0.042395250823496516,air,0_3_10,3.668378576668007,0.060740424839102636,1.166639843945824,-1.0418107918814914
1125,3,11,7,320,150,29.43,1035.15,0.0025468493968434317,0.0600051657972863,air,0_3_11,-71.03314880277131,0.06837923097787672,1.6173324117210142,1.0553174727375045
1224,3,12,7,320,150,29.5,1035.14,-0.0022953087156735016,0.07917322015940807,air,0_3_12,-52.35776695791149,0.07747555644887666,1.774402931792622,-0.14256024124519157
1321,3,13,7,320,150,29.56,1035.16,-0.004716387771931969,0.09804728595769362,air,0_3_13,-10.338157806974378,0.07015283883998288,1.7067715362172349,-0.45118771001532654
1417,3,14,7,320,150,29.61,1035.16,-0.007137466828190436,0.10971863194199169,air,0_3_14,-1.0004668845461215,0.07419174783289792,1.7213630982373145,-1.4779510728293994
1517,3,15,7,320,150,29.67,1035.16,-0.009558545884448903,0.12062560766031559,air,0_3_15,3.668378576668007,0.09529943743934952,2.261652248169211,0.21588476523106886
1615,3,16,7,320,150,29.72,1035.16,-0.013300213516848408,0.13173837537332483,air,0_3_16,17.674914960313707,0.10332457400353287,-2.168766136512126,0.7802656420688572
1811,3,18,7,320,150,29.82,1035.17,-0.01550119447708342,0.14937768920349825,air,0_3_18,-1.0004668845461215,0.10448356527976066,2.6888992987389266,-0.05652816014806374
248,3,2,7,320,150,28.57,1035.14,0.0410640162009556,-0.47487762724633875,air,0_3_2,-1.0004668845461215,-0.3208486726219567,2.7774649462153684,-0.5368220355565364
1999,3,20,7,320,150,29.91,1035.16,-0.018142371629365342,0.16757558130496047,air,0_3_20,-15.007003268191824,0.10764445057856373,3.055830931694382,-1.3457092408665887
2100,3,21,7,320,150,29.96,1035.17,-0.021663941165741236,0.17301436973593062,air,0_3_21,22.343760421527836,0.10439576291034947,-0.35534882280360747,-0.06173723729983191
2586,3,26,7,320,150,30.14,1035.2,-0.030467865006681288,0.21270282585382078,air,0_3_26,64.36336957246495,0.12524004540856748,-2.312874104089141,1.7427523740781794
539,3,5,7,320,150,28.95,1035.12,0.02103508946281735,-0.1404656358826345,air,0_3_5,3.668378576668007,-0.03171547015088712,-2.3662799734770625,2.907563041089706
15741,3,12,8,320,150,30.08,1034.51,0.007831559779922519,-0.05206267498276077,air,4_3_12,-3.1998592061949895,-0.09947745305695513,-2.430114419565777,1.9187001058874997
15841,3,13,8,320,150,30.13,1034.5,0.00557639858675122,-0.038836926922222896,air,4_3_13,0.7599665614714703,-0.030820592216576043,-2.4660797753542743,1.2574341038253012
15938,3,14,8,320,150,30.18,1034.49,0.002644689035628308,-0.02062608920809766,air,4_3_14,-2.759878565342987,-0.01325720921089767,-2.559331255906385,-0.06062869780186563
16042,3,15,8,320,150,30.23,1034.49,0.002644689035628308,-0.0025024542284375136,air,4_3_15,1.1999472023231603,-0.022730791559415094,-2.5910516916486808,-0.8868483194277028
16140,3,16,8,320,150,30.28,1034.48,0.00016401172313975122,0.00395054812197877,air,4_3_16,1.1999472023231603,-0.028798142052285803,-2.630608213701834,-0.8837059666810182
16240,3,17,8,320,150,30.32,1034.46,0.0024191729163112103,0.016289735048788286,air,4_3_17,7.799656815099761,0.05710276755730477,-2.5791465779060174,0.2734720060932089
16432,3,19,8,320,150,30.41,1034.45,-0.005699407379105914,0.028934131546225598,air,4_3_19,-5.839743051305442,0.05859299399415021,-2.6005315335456207,0.773366395017995
16627,3,21,8,320,150,30.48,1034.46,-0.00840560081091173,0.04630200949385501,air,4_3_21,-0.9999560019359148,0.049012966900143826,-2.609404233874384,-0.05580742430718623
16824,3,23,8,320,150,30.55,1034.48,-0.011337310362034482,0.06335014408177911,air,4_3_23,-0.5599753610839122,0.10085155795326727,-2.6547714563785423,-0.21620991254254102
16921,3,24,8,320,150,30.59,1034.48,-0.009984213646131734,0.06701265892931267,air,4_3_24,7.359676174247758,0.05806077026670541,-2.6576646713078897,-1.5423615619047846
15449,3,9,8,320,150,29.91,1034.48,0.01414601112080254,-0.11181108188042145,air,4_3_9,-4.9597817696020625,-0.12853686857544117,-2.6888981783783192,-2.037197410586485
8039,3,10,8,320,150,29.72,1035.12,0.006056601562457814,-0.023072580625119223,air,2_3_10,8.00080008000871,-0.07922053203061385,-2.5264092874002464,0.10517421613314888
8137,3,11,8,320,150,29.79,1035.14,0.004074441051108055,-0.009553206490060369,air,2_3_11,-25.002500250026184,-0.15235055559241684,-2.6630897008810166,-1.8715268461775612
8332,3,13,8,320,150,29.9,1035.12,-0.0023125205965749012,0.0486891295014593,air,2_3_13,3.00030003000379,0.06466773054504174,-0.42768584237303753,-0.7669385113847252
8431,3,14,8,320,150,29.95,1035.12,-0.003413720880658083,0.06366946826079065,air,2_3_14,14.001400140014475,0.04938289679158382,-0.20520669006060954,0.060445905684076574
8630,3,16,8,320,150,30.04,1035.11,-0.008919722301074306,0.08920364102232922,air,2_3_16,-2.0002000200018424,0.11473873766843838,-0.370049378427006,-0.16749720690307607
8726,3,17,8,320,150,30.08,1035.09,-0.0086994822442577,0.10736757433604538,air,2_3_17,-2.0002000200018424,0.16533680802471287,-0.298584593843537,0.8546989471947483
8915,3,19,8,320,150,30.17,1035.09,-0.012443563210140613,0.13091745186163178,air,2_3_19,1.0001000100006843,0.21936078939469347,-0.4474470166158701,-0.1021767645019406
7252,3,2,8,320,150,28.92,1035.1,0.04437837144855477,-0.5404939174812669,air,2_3_2,1.0001000100006843,-0.5173418443603345,-0.35294584901659465,0.011154082022575468
9013,3,20,8,320,150,30.2,1035.1,-0.013544763494223951,0.13298896886619724,air,2_3_20,-1.5787562387628355e-13,0.20934658797001413,-0.2716598143325663,-0.05724273736993249
9112,3,21,8,320,150,30.24,1035.11,-0.015526924005573711,0.14271419606657829,air,2_3_21,-9.00090009000987,0.21105954347686717,-0.4147123326606978,-0.2866782102889551
9306,3,23,8,320,150,30.31,1035.09,-0.01772932457374023,0.14908138517534794,air,2_3_23,-1.000100010001,0.1675768267644438,-0.5367514486912793,0.6794390501677922
9405,3,24,8,320,150,30.34,1035.11,-0.019050764914640174,0.1627097865211734,air,2_3_24,7.000700070007158,0.26771884101123705,-0.4002537194458903,0.014790296942940819
9504,3,25,8,320,150,30.37,1035.12,-0.018390044744190204,0.17298014977538745,air,2_3_25,-10.001000100010712,0.2338550282988346,-0.4261743298163887,0.4406417748839416
9605,3,26,8,320,150,30.4,1035.11,-0.0214734055396233,0.17372153480860036,air,2_3_26,-1.5787562387628355e-13,0.2926225787647159,-0.4085442722502683,0.07559749988988207
7449,3,4,8,320,150,29.21,1035.11,0.028741327414572675,-0.29374353407428944,air,2_3_4,2.000200020002237,-0.3821501251271635,-0.4985471429404036,0.8106003797497664
