,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,temperature_diff,pressure_diff,humidity_diff,gas_resistance_diff,pca_0,pca_1
19599,3,25,4,200,150,0.029038657129125046,0.000154667078962998,0.10160306837653944,-0.7936447720657384,lavender,5_3_25,-5.377822036262788e-14,0.0,-3.444233963480154,-0.8436960052508992,0.12956026864428205,2.7877390381640033
17439,3,3,4,200,150,-0.008657487839739287,7.7333539481499e-05,0.1086023908647011,-0.7008019150734955,lavender,5_3_3,-0.33334444481482356,0.0,-8.332824105194005,-0.7754011452326387,0.16524005142988668,2.9368092362281386
17535,3,4,4,200,150,-0.0046894725798588,8.700023191665889e-05,0.10544140651520875,-0.6858783524325224,lavender,5_3_4,-0.33334444481482356,0.0,-0.9999388926232285,-0.7541206497872882,-0.13244241937765291,3.352588382356096
17636,3,5,4,200,150,-0.0017134611349484642,8.700023191665889e-05,0.10295777595489336,-0.686514782533034,lavender,5_3_5,-5.377822036262788e-14,0.0,-0.3888651249091057,-0.749935637672187,-0.010911930437495441,3.409444909430995
17731,3,6,4,200,150,0.0012625503099618718,9.66669243518188e-05,0.10137728378014718,-0.6893570215046368,lavender,5_3_6,-0.33334444481482356,0.0,1.4443561782336969,-0.7505174081933069,-0.08386598193623855,3.9217936414516363
18028,3,9,4,200,150,0.008206577014752577,5.80001546111792e-05,0.10363512974407031,-0.7175118212920409,lavender,5_3_9,-0.3333444448147051,0.0,19.16549544194717,-0.7719932005416397,0.8454984549165372,-0.2943539149436423
9744,3,1,4,200,150,-0.03049222557994971,2.4914616567935494e-05,0.09676599170579221,-0.7260776154760785,grapefruit,3_3_1,-1.8085837512581642,-19.962072062649785,8.172949262193104,-0.8653916622666603,0.8578028277270071,-0.25879765242505076
10632,3,10,4,200,150,0.011514175668530758,0.00023745154973920496,0.06844677431225231,-0.5722644774458598,grapefruit,3_3_10,0.21277455897144731,-0.9981036031540487,1.6207958452449849,-0.7042651191591837,0.8230897618221745,0.022258819204416563
10830,3,12,4,200,150,0.016890995028336263,0.0003050769375666467,0.06778818786123973,-0.5824122961731315,grapefruit,3_3_12,-0.1914971030743888,17.965864856341685,-3.6209268883133237,-0.703145048218589,0.8811854398851819,0.24285949432379672
10926,3,13,4,200,150,0.01924335349825106,0.00032439847694585303,0.06691007259322301,-0.582679544973323,grapefruit,3_3_13,0.21277455897159095,-0.9981036031540487,-2.9657115466186514,-0.7053286606978468,0.8942047132663097,0.2705695490507605
11026,3,14,4,200,150,0.021595711968165975,0.0003630415557042657,0.06603195732520628,-0.5855963747354131,grapefruit,3_3_14,-0.19149710307424517,17.965864856341685,-11.483510988651254,-0.7033639353214165,0.8375525814841369,-0.9760046041577441
11225,3,16,4,200,150,0.02596437769800803,0.0004499884829106941,0.06888583194626059,-0.589253865458034,grapefruit,3_3_16,0.21277455897144731,36.92983331583743,-12.13872633034546,-0.7050059172519361,0.9657982597482904,-0.9078382360929056
11320,3,17,4,200,150,0.02798068495793505,0.0004789707919795036,0.0638366691551644,-0.5874365736167317,grapefruit,3_3_17,0.21277455897159095,-0.9981036031540487,0.9655805035503128,-0.7041868982425576,1.0948054116616208,-0.7454216724061705
11418,3,18,4,200,150,0.02999699221786207,0.0004886315616691067,0.06493431324018527,-0.58951347857822,grapefruit,3_3_18,0.21277455897159095,-19.962072063080974,-2.9657115466186514,-0.7071579784370927,1.2322459503776215,-0.7647871551499505
11519,3,19,4,200,150,0.032013299477789206,0.0005369354101173422,0.06427572678917268,-0.5920867027400639,grapefruit,3_3_19,0.21277455897144731,17.965864856341685,-2.965711546618186,-0.7059734902710413,1.2917927226780495,-0.7909673491134988
11709,3,21,4,200,150,0.03570986278765547,0.0006142215676341674,0.06317808270415182,-0.5923386801802445,grapefruit,3_3_21,0.21277455897159095,17.965864856341685,-1.6552808632288416,-0.7052261189920178,1.4240088782255726,-0.9247611143659995
11810,3,22,4,200,150,0.037390118837594716,0.0006238823373237706,0.06273902507014338,-0.5936138387411583,grapefruit,3_3_22,0.21277455897144731,-0.9981036031540487,-2.310496204923514,-0.7031647677774023,1.5644563040469917,-0.7666672756039637
12009,3,24,4,200,150,0.04108668214746097,0.0007301508039094053,0.06361714033816025,-0.5933542256209722,grapefruit,3_3_24,0.21277455897159095,-19.962072063080974,-1.0000655215341694,-0.7039219988358325,1.7846262999198985,-0.8799398935451177
9940,3,3,4,200,150,-0.01301756266058185,8.287923470555443e-05,0.07942321516246159,-0.5764411944088528,grapefruit,3_3_3,-0.1914971030743888,17.965864856341685,-4.276142230008461,-0.7266376159514835,1.7496412429795576,-0.5515605313009029
